layer,head,value
28,13,0.390625
28,14,0.15332031
28,15,0.78515625
28,16,0.32421875
28,17,0.118652344
28,18,0.46875
28,19,0.106933594
28,20,0.16113281
28,21,0.018676758
28,22,0.08642578
28,23,0.055419922
28,24,0.15332031
28,25,0.484375
28,26,0.46484375
28,27,0.1015625
28,28,0.055908203
28,29,0.017089844
28,30,0.016967773
28,31,0.30859375
29,0,0.37695312
29,1,0.088378906
29,2,0.796875
29,3,0.053710938
29,4,0.059326172
29,5,0.028808594
29,6,0.088378906
29,7,0.09423828
29,8,0.36523438
29,9,0.28515625
29,10,0.31835938
29,11,0.111328125
29,12,0.78515625
29,13,0.28710938
29,14,0.734375
29,15,0.36328125
29,16,0.76953125
29,17,0.09667969
29,18,0.375
29,19,0.29101562
29,20,0.0546875
29,21,0.22167969
29,22,0.55078125
29,23,0.17285156
29,24,0.00982666
29,25,0.019897461
29,26,0.033935547
29,27,0.005493164
29,28,0.03955078
29,29,0.06738281
29,30,0.011413574
29,31,0.25195312
30,0,0.11230469
30,1,0.4296875
30,2,0.24121094
30,3,0.18359375
30,4,0.04321289
30,5,0.048828125
30,6,0.11035156
30,7,0.05834961
30,8,0.12060547
30,9,0.4375
30,10,0.16210938
30,11,0.15820312
30,12,0.049316406
30,13,0.025634766
30,14,0.049560547
30,15,0.07470703
30,16,0.71484375
30,17,0.22949219
30,18,0.265625
30,19,0.3515625
30,20,0.15136719
30,21,0.053955078
30,22,0.03955078
30,23,0.026367188
30,24,0.2109375
30,25,0.15820312
30,26,0.4609375
30,27,0.23535156
30,28,0.33203125
30,29,0.80859375
30,30,0.091308594
30,31,0.140625
31,0,0.23242188
31,1,0.012634277
31,2,0.19921875
31,3,0.33398438
31,4,0.24609375
31,5,0.14160156
31,6,0.26757812
31,7,0.10253906
31,8,0.045654297
31,9,0.10205078
31,10,0.07861328
31,11,0.13574219
31,12,0.36914062
31,13,0.16796875
31,14,0.32226562
31,15,0.1484375
31,16,0.265625
31,17,0.27734375
31,18,0.38476562
31,19,0.25390625
31,20,0.11425781
31,21,0.31835938
31,22,0.22460938
31,23,0.22363281
31,24,0.07763672
31,25,0.28320312
31,26,0.21582031
31,27,0.5078125
31,28,0.15234375
31,29,0.21386719
31,30,0.107910156
31,31,0.24804688
