model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,8,29,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,8,30,45.87156176567078,-4.12843823432922,Other
LLaVA-NeXT,llava-next,8,31,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,9,0,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,9,1,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,9,2,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,9,3,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,9,4,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,9,5,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,9,6,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,9,7,46.55963182449341,-3.4403681755065896,Other
LLaVA-NeXT,llava-next,9,8,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,9,9,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,9,10,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,9,11,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,9,12,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,9,13,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,9,14,50.0,-0.0,Other
LLaVA-NeXT,llava-next,9,15,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,9,16,47.93577790260315,-2.0642220973968497,Other
LLaVA-NeXT,llava-next,9,17,54.12844121456146,4.128441214561461,Other
LLaVA-NeXT,llava-next,9,18,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,9,19,43.11926364898682,-6.880736351013179,Other
LLaVA-NeXT,llava-next,9,20,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,9,21,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,9,22,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,9,23,54.58715558052063,4.58715558052063,Other
LLaVA-NeXT,llava-next,9,24,45.64220309257508,-4.35779690742492,Other
LLaVA-NeXT,llava-next,9,25,50.0,-0.0,Other
LLaVA-NeXT,llava-next,9,26,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,9,27,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,9,28,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,9,29,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,9,30,52.75229215621948,2.75229215621948,Other
LLaVA-NeXT,llava-next,9,31,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,10,0,45.18348574638367,-4.81651425361633,Other
LLaVA-NeXT,llava-next,10,1,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,10,2,59.40366983413696,9.40366983413696,Other
LLaVA-NeXT,llava-next,10,3,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,10,4,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,10,5,47.477066516876235,-2.52293348312377,Other
LLaVA-NeXT,llava-next,10,6,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,10,7,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,10,8,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,10,9,44.49541568756104,-5.50458431243896,Other
LLaVA-NeXT,llava-next,10,10,56.880733370780945,6.88073337078094,Other
LLaVA-NeXT,llava-next,10,11,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,10,12,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,10,13,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,10,14,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,10,15,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,10,16,46.100914478302016,-3.8990855216979896,Other
LLaVA-NeXT,llava-next,10,17,45.87156176567078,-4.12843823432922,Other
LLaVA-NeXT,llava-next,10,18,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,10,19,45.64220309257508,-4.35779690742492,Other
LLaVA-NeXT,llava-next,10,20,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,10,21,50.0,-0.0,Other
LLaVA-NeXT,llava-next,10,22,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,10,23,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,10,24,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,10,25,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,10,26,50.0,-0.0,Other
